id_jugador,id_club
29039,720
29091,162
29091,221
29091,237
29091,379
29091,583
29091,714
29091,940
29091,1023
29091,1108
29091,2462
29241,5
29241,583
29241,631
29241,2462
29260,430
29260,506
29260,51828
29364,162
29364,336
29364,543
29364,720
29364,1075
29401,418
29401,506
29434,583
29434,762
29434,873
29434,1082
29459,2282
29559,3631
29692,11
29692,379
29712,29
29712,543
29712,762
30059,15
30290,234
30290,610
30290,2282
30290,51828
30321,189
30321,237
30321,367
30321,1531
30670,399
30670,610
30670,762
30687,800
30687,40058
30690,162
30690,189
30690,985
30739,449
30739,631
31005,1041
31005,2462
31067,24
31067,234
31067,237
31067,1050
31067,6195
31095,16
31095,31
31095,234
31095,418
31514,1237
31535,1148
31552,281
31552,371
31552,405
31552,631
31552,873
31553,371
31553,703
31570,27
31570,60
31579,281
31579,399
31645,210
31645,430
31645,720
31645,985
31653,18
31909,15
31909,27
31909,418
32113,416
32467,131
32467,368
32617,281
32617,405
32617,430
33027,762
33027,1237
33210,383
33210,610
33210,1531
33357,13
33357,46
33481,11
33481,12
33481,449
33481,1082
33544,985
33544,1050
33571,398
33571,416
33571,430
33571,1025
33639,29
33639,430
33639,683
33639,1082
33648,162
33648,294
33648,336
33648,418
33706,36
33706,336
33706,398
33706,985
33706,1049
33713,11
33713,29
33781,11
33781,162
33781,1082
33785,762
33789,449
33829,379
33829,873
33829,1075
33829,1082
33862,141
33862,720
33862,2282
33873,5
33873,29
33873,631
33873,989
33923,506
33923,583
33923,69261
33952,36
33952,60
33952,762
34130,405
34130,985
34156,29
34156,141
34156,199
34156,281
34198,506
34198,800
34239,12
34239,430
34322,5
34322,11
34322,16
34322,150
34322,683
34344,5
34344,410
34344,1050
34370,5
34370,367
34370,368
34370,418
34370,714
34370,1050
34393,15
34393,148
34393,281
34412,714
34495,131
34495,368
34572,5
34572,13
34572,27
34572,82
34572,506
34601,13
34601,331
34601,621
34838,281
34838,405
34838,762
34870,36
34870,148
34870,331
34870,418
34870,1049
34870,1050
34870,3368
34870,3709
34987,36
34987,141
34987,449
34987,1082
35004,383
35047,13
35047,16
35047,294
35047,12321
35099,244
35099,543
35207,16
35207,18
35207,1061
35249,12
35249,58
35249,410
35249,931
35518,281
35518,681
35518,940
35518,1049
35537,46
35537,141
35537,210
35537,237
35537,430
35537,506
35537,614
35537,1023
35537,2462
35540,237
35540,681
35540,3368
35564,148
35564,368
35564,410
35564,506
35564,621
35564,6195
35587,11
35587,371
35587,873
35664,11
35664,36
35664,418
35773,11
35773,331
35773,681
35773,51828
35813,131
35813,1061
35813,2282
35813,3711
35813,11141
35865,800
35871,237
35871,410
35871,800
35872,24
35939,294
35939,418
35939,1049
36139,36
36139,610
36182,18
36182,36
36182,60
36182,82
36200,449
36350,150
36350,281
36350,294
36350,331
36350,418
36355,150
36371,5
36371,12
36371,13
36371,276
36371,430
36529,543
36529,931
36608,124
36827,631
36884,124
37148,405
37157,583
37389,12
37389,46
37389,189
37389,430
37389,506
37389,714
37389,720
37389,800
37389,1025
37418,46
37428,371
37428,543
37579,5
37579,199
37579,631
37579,1050
37647,244
37647,379
37647,995
37647,1082
37666,15
37666,27
37666,46
37666,131
37666,506
37666,614
37788,273
37834,46
37834,281
37834,336
37834,398
37834,714
37834,3368
